,IT0005495657,FR0010220475,FR0000121147,FR0000130395,DE000FTG1111,DE000A161408,DE000A2YN900,DE000A0D6554,DE000A0LD6E6,DE000ZAL1111,DE000TUAG505,DE0008303504,DE0005664809,DE0007500001,DE000A1PHFF7,DE0005470405,DE0005313704,DE000A0WMPJ6,Total
2024-12-31,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.79,0.0,0.0,0.0,5.07
2024-12-30,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.79,0.0,0.0,0.0,5.07
2024-12-29,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.79,0.0,0.0,0.0,5.07
2024-12-28,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.79,0.0,0.0,0.0,5.07
2024-12-27,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.79,0.0,0.0,0.0,5.07
2024-12-26,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.79,0.0,0.0,0.0,5.07
2024-12-25,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.79,0.0,0.0,0.0,5.07
2024-12-24,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.79,0.0,0.0,0.0,5.07
2024-12-23,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.79,0.0,0.0,0.0,5.07
2024-12-22,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-21,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-20,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-19,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-18,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-17,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-16,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-15,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-14,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-13,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-12,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-11,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-10,0.0,0.0,0.8,0.59,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.140000000000001
2024-12-09,0.0,0.0,0.8,0.6,0.0,0.91,0.0,0.5,0.81,0.0,0.51,0.0,0.58,0.0,0.86,0.0,0.0,0.0,5.57
2024-12-08,0.0,0.0,0.8,0.51,0.0,0.91,0.0,0.5,0.81,0.0,0.51,0.0,0.58,0.0,0.9,0.0,0.0,0.0,5.5200000000000005
2024-12-07,0.0,0.0,0.8,0.51,0.0,0.91,0.0,0.5,0.81,0.0,0.51,0.0,0.58,0.0,0.9,0.0,0.0,0.0,5.5200000000000005
2024-12-06,0.0,0.0,0.8,0.51,0.0,0.91,0.0,0.5,0.81,0.0,0.51,0.0,0.58,0.0,0.9,0.0,0.0,0.0,5.5200000000000005
2024-12-05,0.0,0.0,0.8,0.51,0.0,0.8,0.0,0.5,0.7,0.0,0.51,0.0,0.58,0.0,0.9,0.0,0.0,0.0,5.300000000000001
