,DE000WAF3001,DE000A0Z23Q5,DE0005102008,DE000A0HHJR3,DE000A35JS40,DE000A1H8BV3,DE0005419105,DE000A0DJ6J9,DE000A0D6554,DE000NCA0001,DE000A1MMCC8,DE0005493365,DE0005800601,DE0005158703,FR001400T0D6,DE0005677108,DE0005089031,DE000A0WMPJ6,DE000KSAG888,DE0005470405,Total
2025-01-11,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-10,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-09,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-08,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-07,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-06,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-05,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-04,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-03,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.459999999999999
2025-01-02,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.449999999999999
2025-01-01,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.449999999999999
2024-12-31,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.449999999999999
2024-12-30,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.449999999999999
2024-12-29,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.449999999999999
2024-12-28,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.449999999999999
2024-12-27,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.449999999999999
2024-12-26,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.52
2024-12-25,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.52
2024-12-24,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.52
2024-12-23,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.52
2024-12-22,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.52
2024-12-21,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.52
2024-12-20,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.52
2024-12-19,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.48,1.18,0.61,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.52
