,<05,<1,<2,<5,>=5,GB,Market_capitalization,US,Total
2023-10-16,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-15,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-14,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-13,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-12,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-11,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-10,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-09,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-08,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
2023-10-07,2,0,0,0,0,0.0,18590000000.0,0.0,0.0
