,<05,<1,<2,<5,>=5,GB,IT,JE,Market_capitalization,NL,US,Total
2024-10-03,1,0,1,1,0,0.15,0.75,0.19,9630000000.0,0.0,0.19,1.28
2024-10-02,1,0,1,1,0,0.15,0.75,0.19,9630000000.0,0.0,0.19,1.28
2024-10-01,1,0,1,1,0,0.15,0.75,0.19,9630000000.0,0.0,0.18,1.27
2024-09-30,1,0,1,1,0,0.15,0.75,0.17,9630000000.0,0.0,0.18,1.25
2024-09-29,1,0,1,1,0,0.15,0.75,0.17,9630000000.0,0.0,0.19,1.26
2024-09-28,1,0,1,1,0,0.15,0.75,0.17,9630000000.0,0.0,0.19,1.26
2024-09-27,1,0,1,1,0,0.15,0.75,0.17,9630000000.0,0.0,0.19,1.26
2024-09-26,1,0,1,1,0,0.15,0.75,0.17,9630000000.0,0.0,0.17,1.24
2024-09-25,1,0,1,1,0,0.15,0.75,0.17,9630000000.0,0.0,0.17,1.24
2024-09-24,1,0,1,1,0,0.15,0.75,0.16,9630000000.0,0.0,0.17,1.23
2024-09-23,1,0,1,1,0,0.15,0.75,0.16,9630000000.0,0.0,0.16,1.22
2024-09-22,1,0,1,1,0,0.14,0.75,0.16,9630000000.0,0.0,0.16,1.21
2024-09-21,1,0,1,1,0,0.14,0.75,0.16,9630000000.0,0.0,0.16,1.21
2024-09-20,1,0,1,1,0,0.14,0.75,0.16,9630000000.0,0.0,0.16,1.21
2024-09-19,1,0,1,1,0,0.13,0.75,0.16,9630000000.0,0.0,0.16,1.2
2024-09-18,1,0,1,1,0,0.13,0.75,0.14,9630000000.0,0.0,0.16,1.18
2024-09-17,1,0,1,1,0,0.1,0.75,0.14,9630000000.0,0.0,0.16,1.15
2024-09-16,1,0,1,1,0,0.08,0.75,0.14,9630000000.0,0.0,0.16,1.13
2024-09-15,1,0,1,1,0,0.0,0.75,0.13,9630000000.0,0.0,0.16,1.04
2024-09-14,1,0,1,1,0,0.0,0.75,0.13,9630000000.0,0.0,0.16,1.04
2024-09-13,1,0,1,1,0,0.0,0.75,0.13,9630000000.0,0.0,0.16,1.04
2024-09-12,1,0,1,1,0,0.12,0.75,0.13,9630000000.0,0.0,0.16,1.16
2024-09-11,1,0,1,1,0,0.12,0.75,0.13,9630000000.0,0.0,0.16,1.16
2024-09-10,1,0,1,1,0,0.13,0.75,0.13,9630000000.0,0.0,0.16,1.17
2024-09-09,1,0,1,1,0,0.13,0.75,0.13,9630000000.0,0.0,0.16,1.17
2024-09-08,1,0,1,1,0,0.13,0.75,0.13,9630000000.0,0.0,0.16,1.17
2024-09-07,1,0,1,1,0,0.13,0.75,0.13,9630000000.0,0.0,0.16,1.17
2024-09-06,1,0,1,1,0,0.13,0.75,0.13,9630000000.0,0.0,0.16,1.17
2024-09-05,1,0,1,1,0,0.13,0.75,0.13,9630000000.0,0.0,0.16,1.17
2024-09-04,1,0,1,1,0,0.13,0.75,0.13,9630000000.0,0.0,0.16,1.17
2024-09-03,1,0,1,1,0,0.15,0.75,0.13,9630000000.0,0.0,0.16,1.19
2024-09-02,1,0,1,1,0,0.15,0.75,0.13,9630000000.0,0.0,0.16,1.19
2024-09-01,1,0,1,1,0,0.18,0.75,0.13,9630000000.0,0.0,0.16,1.22
2024-08-31,1,0,1,1,0,0.18,0.75,0.13,9630000000.0,0.0,0.16,1.22
2024-08-30,1,0,1,1,0,0.18,0.75,0.13,9630000000.0,0.0,0.16,1.22
2024-08-29,1,0,1,1,0,0.25,0.75,0.13,9630000000.0,0.0,0.16,1.2899999999999998
2024-08-28,1,0,1,1,0,0.28,0.75,0.11,9630000000.0,0.0,0.16,1.3
2024-08-27,1,0,1,1,0,0.28,0.75,0.11,9630000000.0,0.0,0.09,1.2300000000000002
2024-08-26,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.09,1.2400000000000002
2024-08-25,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.09,1.2400000000000002
2024-08-24,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.09,1.2400000000000002
2024-08-23,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.09,1.2400000000000002
2024-08-22,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.07,1.2200000000000002
2024-08-21,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.07,1.2200000000000002
2024-08-20,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.07,1.2200000000000002
2024-08-19,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.07,1.2200000000000002
2024-08-18,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.07,1.2200000000000002
2024-08-17,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.07,1.2200000000000002
2024-08-16,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.07,1.2200000000000002
2024-08-15,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.07,1.2200000000000002
2024-08-14,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.07,1.2200000000000002
2024-08-13,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.0,1.1500000000000001
2024-08-12,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.0,1.1500000000000001
2024-08-11,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.0,1.1500000000000001
2024-08-10,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.0,1.1500000000000001
2024-08-09,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.0,1.1500000000000001
2024-08-08,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.0,1.1500000000000001
2024-08-07,1,0,1,1,0,0.29,0.75,0.11,9630000000.0,0.0,0.0,1.1500000000000001
2024-08-06,1,0,1,1,0,0.21,0.75,0.11,9630000000.0,0.0,0.0,1.07
2024-08-05,1,0,1,1,0,0.21,0.75,0.11,9630000000.0,0.0,0.0,1.07
2024-08-04,1,0,1,1,0,0.21,0.75,0.11,9630000000.0,0.0,0.0,1.07
2024-08-03,1,0,1,1,0,0.21,0.75,0.11,9630000000.0,0.0,0.0,1.07
2024-08-02,1,0,1,1,0,0.21,0.75,0.11,9630000000.0,0.0,0.0,1.07
2024-08-01,1,0,1,1,0,0.21,0.75,0.1,9630000000.0,0.0,0.0,1.06
2024-07-31,1,0,1,1,0,0.26,0.75,0.1,9630000000.0,0.0,0.0,1.11
2024-07-30,1,0,1,1,0,0.26,0.75,0.1,9630000000.0,0.0,0.0,1.11
2024-07-29,1,0,1,1,0,0.26,0.75,0.1,9630000000.0,0.0,0.0,1.11
